"Stage","SeqNr","Timestamp [µs]","Phase","Width [µs]","Vprim [mV]"
B,118959,2093299991,0,190,2499
B,118960,2093300171,1,188,1903
A,127919,2093306802,0,186,2490
A,127920,2093306977,1,184,2088
B,118961,2093310118,0,188,2504
B,118962,2093310295,1,188,1919
A,127921,2093316865,0,185,2397
A,127922,2093317039,1,186,2106
B,118963,2093320186,0,186,2499
B,118964,2093320362,1,185,1908
A,127923,2093326723,0,186,2470
A,127924,2093326895,1,188,2104
B,118965,2093329483,0,187,2508
B,118966,2093329659,1,185,1906
A,127925,2093335968,0,187,2510
A,127926,2093336143,1,187,2097
B,118967,2093338779,0,187,2418
B,118968,2093338958,1,183,1982
A,127927,2093345214,0,188,2391
A,127928,2093345391,1,187,2104
B,118969,2093348075,0,187,2492
B,118970,2093348253,1,184,1901
A,127929,2093354462,0,189,2483
A,127930,2093354636,1,191,2109
B,118971,2093357371,0,187,2465
B,118972,2093357548,1,184,1906
A,127931,2093363712,0,190,2328
A,127932,2093363891,1,190,2095
B,118973,2093366667,0,187,2494
B,118974,2093366842,1,186,1917
A,127933,2093373015,0,192,2472
A,127934,2093373195,1,192,2097
B,118975,2093375961,0,186,2425
B,118976,2093376137,1,185,1908
A,127935,2093382268,0,193,2497
A,127936,2093382449,1,193,2118
B,118977,2093385254,0,187,2416
B,118978,2093385431,1,184,1899
A,127937,2093391524,0,194,2422
A,127938,2093391708,1,192,2097
B,118979,2093394548,0,187,2501
B,118980,2093394723,1,187,1917
A,127939,2093400785,0,194,2456
A,127940,2093400968,1,194,2082
B,118981,2093403846,0,186,2497
B,118982,2093404022,1,185,1912
A,127941,2093410048,0,196,2461
A,127942,2093410235,1,192,2088
B,118983,2093413142,0,187,2501
B,118984,2093413319,1,184,1912
A,127943,2093419313,0,197,2377
