"Stage","SeqNr","Timestamp [µs]","Phase","Width [µs]","Vprim [mV]"
B,222,7387765,1,64,1818
A,223,7447588,0,91,2368
A,224,7447667,1,91,2073
B,223,7453361,0,64,2580
B,224,7453416,1,62,1813
A,225,7512910,0,99,2549
A,226,7512997,1,99,2084
B,225,7519020,0,64,2508
B,226,7519073,1,64,1718
A,227,7578232,0,107,2510
A,228,7578326,1,108,2102
B,227,7584660,0,64,2540
B,228,7584715,1,62,1829
A,229,7643170,0,115,2531
A,230,7643275,1,112,2086
B,229,7650293,0,64,2528
B,230,7650346,1,64,1845
A,231,7708127,0,122,2537
A,232,7708237,1,122,2111
B,231,7715930,0,64,2479
B,232,7715984,1,63,1831
A,233,7773102,0,130,2386
A,234,7773219,1,130,2109
B,233,7781569,0,64,2542
B,234,7781622,1,64,1843
A,235,7837299,0,137,2434
A,236,7837424,1,138,2129
B,235,7847196,0,64,2535
B,236,7847249,1,63,1849
A,237,7901528,0,147,2605
A,238,7901663,1,146,2131
B,237,7912841,0,64,2549
B,238,7912894,1,64,1845
A,239,7965768,0,154,2580
A,240,7965908,1,156,2127
B,239,7978479,0,64,2447
B,240,7978534,1,62,1834
A,241,8030023,0,162,2558
A,242,8030174,1,161,2122
B,241,8044117,0,64,2479
B,242,8044170,1,64,1852
A,243,8094300,0,170,2474
A,244,8094459,1,169,2145
B,243,8109759,0,64,2544
B,244,8109814,1,62,1822
A,245,8158199,0,177,2519
A,246,8158365,1,176,2134
B,245,8175400,0,64,2542
B,246,8175453,1,64,1854
A,247,8221719,0,185,2526
A,248,8221890,1,187,2154
B,247,8241035,0,64,2499
B,248,8241088,1,64,1838
A,249,8285256,0,193,2540
A,250,8285437,1,193,2154
B,249,8306675,0,64,2533
B,250,8306727,1,65,1856
A,251,8348810,0,201,2526
A,252,8348999,1,201,2217
B,251,8372317,0,64,2564
B,252,8372370,1,64,1849
A,253,8412388,0,208,2461
A,254,8412582,1,210,2167
B,253,8437961,0,64,2537
B,254,8438014,1,64,1845
A,255,8476364,0,212,2522
A,256,8476562,1,214,2190
B,255,8503599,0,64,2481
B,256,8503653,1,63,1840
A,257,8545035,0,204,2422
A,258,8545226,1,203,2165
B,257,8569246,0,64,2537
B,258,8569299,1,64,1836
A,259,8613299,0,195,2434
A,260,8613482,1,195,2152
B,259,8634885,0,64,2452
B,260,8634937,1,64,1849
A,261,8681538,0,187,2549
A,262,8681712,1,188,2127
B,261,8700518,0,64,2544
B,262,8700569,1,66,1858
A,263,8749765,0,178,2555
A,264,8749931,1,178,2152
B,263,8766158,0,64,2540
B,264,8766211,1,63,1815
A,265,8817587,0,169,2562
A,266,8817744,1,171,2145
B,265,8831798,0,64,2366
B,266,8831849,1,66,1845
A,267,8885390,0,163,2610
A,268,8885543,1,159,2125
B,267,8897440,0,69,2533
B,268,8897499,1,68,1845
A,269,8953183,0,154,2508
A,270,8953325,1,154,2129
B,269,8963092,0,77,2535
B,270,8963157,1,78,1876
A,271,9020960,0,146,2560
A,272,9021094,1,145,2122
B,271,9028764,0,86,2506
B,272,9028841,1,83,1872
A,273,9088336,0,136,2519
A,274,9088460,1,138,2134
B,273,9094067,0,94,2551
B,274,9094150,1,93,1890
A,275,9155300,0,129,2621
A,276,9155414,1,132,2109
